School,API,FLE,PE
Joe A. Gonsalves Elementary,960,16,81
Old River Elementary,849,0,24
Sierra Vista Elementary,722,96,6
West Portal Elementary,914,44,63
Isabelle Jackson Elementary,754,83,20
Rio Vista Elementary,796,90,20
Poplar Avenue Elementary,802,80,18
Cloverly Elementary,903,46,53
Creative Arts Charter,844,33,60
Carolyn A. Clark Elementary,963,6,84
Raymond Elementary,824,69,25
Fernangeles Elementary,730,100,7
Rainbow Ridge Elementary,826,90,14
Cyrus J. Morris Elementary,882,29,61
Benjamin Franklin Elementary,882,36,40
Salvador Elementary,736,65,20
Bowers Elementary,788,59,31
Vintage Parkway Elementary,830,54,26
Balboa Magnet Elementary,981,22,83
Selby Lane Elementary,730,80,6
